Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0005,97.887,space,97.8504,,-0.101381553,-0.131421982,0,0,0,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,97.9261,99.4352,2,1,1.501400001,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,99.436,100.1017,3,1,0.6628,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,100.1022,100.7519,2,1,0.639599999,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,100.7527,101.3695,2,0,0.6162,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,101.3701,102.1188,1,1,0.7383,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,102.1193,102.7679,1,1,0.645099999,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,102.7684,103.5684,3,1,0.7897,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,103.5689,104.118,2,1,0.5468,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,104.1185,104.8516,4,1,0.73,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,104.852,105.3516,1,1,0.4881,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,105.352,105.9514,2,1,0.5893,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,105.952,106.4343,3,1,0.4811,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,106.4348,107.0351,2,1,0.5898,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,lunar,2024-09-24_15h32.27.362,Motor_Task,2023.2.2,Win32,60.79027356,107.0358,107.6344,3,1,0.587900001,,1,3,13,3,1,4,R,,3,,,,,,,
