Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0006,8.8395,1,8.7963,,0.502222222,0.07,0,0,0,1,,2024-09-24_15h33.58.913,Motor_Task,2023.2.2,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h33.58.913,Motor_Task,2023.2.2,Win32,59.17159763,8.863,9.7199,2,1,0.8483,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h33.58.913,Motor_Task,2023.2.2,Win32,59.17159763,9.7206,10.5696,3,1,0.8394,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h33.58.913,Motor_Task,2023.2.2,Win32,59.17159763,10.5701,11.3534,2,1,0.7806,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h33.58.913,Motor_Task,2023.2.2,Win32,59.17159763,11.354,11.9869,3,1,0.625,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h33.58.913,Motor_Task,2023.2.2,Win32,59.17159763,11.9875,12.6044,1,1,0.6055,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h33.58.913,Motor_Task,2023.2.2,Win32,59.17159763,12.6049,13.1032,1,1,0.496,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h33.58.913,Motor_Task,2023.2.2,Win32,59.17159763,13.1037,13.6542,3,1,0.5424,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h33.58.913,Motor_Task,2023.2.2,Win32,59.17159763,13.6549,14.1044,2,1,0.443,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h33.58.913,Motor_Task,2023.2.2,Win32,59.17159763,14.1049,14.6362,4,1,0.5283,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h33.58.913,Motor_Task,2023.2.2,Win32,59.17159763,14.6366,15.1196,1,1,0.4737,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h33.58.913,Motor_Task,2023.2.2,Win32,59.17159763,15.12,15.67,2,1,0.5416,,1,0,10,0,1,1,M,,2,,,,,,,
