Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0,1.155,2,1.117,,-0.146341463,-0.295497186,0,0,0,1,,2024-09-24_15h37.11.578,Motor_Task,2023.2.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h37.11.578,Motor_Task,2023.2.2,Win32,60.0240096,1.173,1.705,2,1,0.524,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h37.11.578,Motor_Task,2023.2.2,Win32,60.0240096,1.706,2.287,3,1,0.572,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h37.11.578,Motor_Task,2023.2.2,Win32,60.0240096,2.287,2.804,2,1,0.515,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h37.11.578,Motor_Task,2023.2.2,Win32,60.0240096,2.804,3.271,3,1,0.46,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h37.11.578,Motor_Task,2023.2.2,Win32,60.0240096,3.273,3.872,1,1,0.594,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h37.11.578,Motor_Task,2023.2.2,Win32,60.0240096,3.873,4.454,1,1,0.577,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h37.11.578,Motor_Task,2023.2.2,Win32,60.0240096,4.456,4.971,3,1,0.508,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h37.11.578,Motor_Task,2023.2.2,Win32,60.0240096,4.972,5.537,2,1,0.56,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2024-09-24_15h37.11.578,Motor_Task,2023.2.2,Win32,60.0240096,5.539,6.121,4,1,0.581,,0,8,8,8,1,9,L,,4,,,,,,,
