Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0049,10.0297,1,9.977,,-0.151851824,0.051851824,0,0,0,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,10.0491,10.7947,2,1,0.742,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,10.7958,11.3435,3,1,0.5472,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,11.3438,11.8936,2,1,0.5463,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,11.8939,12.4109,3,1,0.5088,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,12.4118,12.9937,1,1,0.5701,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,12.9947,13.4772,1,1,0.4717,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,13.4787,14.1106,3,1,0.6205,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,14.1114,14.6103,2,1,0.4869,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,14.6114,15.1769,4,1,0.554,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,15.1778,15.7437,1,1,0.555,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,15.7446,16.2272,2,1,0.4708,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,16.2286,16.6769,3,1,0.4441,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,16.6778,17.1591,1,0,0.4746,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,17.16,17.859,3,1,0.6981,,1,3,13,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,17.8596,18.4425,1,1,0.5781,,1,4,14,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,18.4432,19.0094,1,1,0.5547,,1,5,15,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,19.0108,19.5924,3,1,0.5791,,1,6,16,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,19.5931,20.0755,2,1,0.4757,,1,7,17,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,20.0766,20.594,4,1,0.5087,,1,8,18,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,20.5949,21.1264,1,1,0.5258,,1,9,19,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,21.1271,21.6272,2,1,0.4922,,2,0,20,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,21.6283,22.0936,3,1,0.458,,2,1,21,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,22.0948,22.626,2,1,0.5271,,2,2,22,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,22.6272,23.2424,3,1,0.6037,,2,3,23,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,23.2432,23.9427,1,1,0.6872,,2,4,24,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,23.9437,24.4757,1,1,0.5264,,2,5,25,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,ESK,2024-09-24_15h34.22.446,Motor_Task,2023.2.2,Win32,60.24096386,24.4768,25.0761,3,1,0.5905,,2,6,26,6,1,7,R,,3,,,,,,,
